nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
margarine with yoghurt,88.0,0.058,9.8,0.073,,12500;
sunflower seed butter,99.0,2.8,8.8,3.7,,39500;
hazelnut oil,120.0,0.0,13.6,0.0,,50500;
menhaden fish oil,1966.0,0.0,218.0,0.0,,36000;
cod liver fish oil,123.0,0.0,13.6,0.0,,61500;
sardine oil,123.0,0.0,13.6,0.0,,86500;
cupu assu oil,120.0,0.0,13.6,0.0,,24000;
lard,115.0,0.0,12.8,0.0,,11000;
sesame butter,94.0,2.9,8.1,3.8,,49500;
margarine spread,59.0,0.082,6.7,0.1,,38000;
lard vegetable oil,115.0,0.0,12.8,0.0,,61000;
shortening,113.0,0.0,12.8,0.0,,42000;
vegetable oil spread,75.0,0.007,8.4,0.1,,60500;
cottonseed oil,120.0,0.0,13.6,0.0,,64000;
vegetable oil spread fat free,6.0,0.2,0.5,0.4,,77000;
soy margarine,88.0,0.0,9.9,0.0,,5500;
margarine with salt,100.0,0.031,11.3,0.017,,15500;
margarine,102.0,0.037,11.5,0.018,,32500;
salmon fish oil,123.0,0.0,13.6,0.0,,60500;
nutmeg butter oil,1927.0,0.0,218.0,0.0,,44500;
almond butter,98.0,3.4,8.9,3.0,,49000;
sour cream shoprite,60.0,0.0,5.0,1.0,,11000;
ucuhuba butter oil,120.0,0.0,13.6,0.0,,51000;
chicken fat,115.0,0.0,12.8,0.0,,28500;
herring fish oil,123.0,0.0,13.6,0.0,,60000;
bacon grease,39.0,0.0,4.3,0.0,,8000;
turkey fat,45.0,0.0,5.0,0.0,,35000;
beef tallow,115.0,0.0,12.8,0.0,,63500;
goose fat,45.0,0.0,5.0,0.0,,30000;
duck fat,44.0,0.0,5.0,0.0,,10000;
mutton tallow,45.0,0.0,5.0,0.0,,41000;
grapeseed oil,120.0,0.0,13.6,0.0,,63000;
sheanut oil,1927.0,0.0,218.0,0.0,,70500;
almond oil,120.0,0.0,13.6,0.0,,27500;
sunflower oil,120.0,0.0,13.6,0.0,,54000;
cashew butter,94.0,2.8,7.9,4.4,,40500;
canola oil,124.0,0.0,14.0,0.0,,51500;
babassu oil,1927.0,0.0,218.0,0.0,,68000;
teaseed oil,120.0,0.0,13.6,0.0,,54500;
avocado oil,124.0,0.0,14.0,0.0,,67500;
vegetable palm kernel oil,117.0,0.0,13.6,0.0,,51000;
coconut oil,117.0,0.0,13.6,0.0,,36000;
safflower oil,120.0,0.0,13.6,0.0,,71000;
vegetable oil,120.0,0.0,13.6,0.0,,61000;
apricot kernel oil,40.0,0.0,4.5,0.0,,62500;
peanut oil,119.0,0.0,13.5,0.0,,71000;
poppyseed oil,120.0,0.0,13.6,0.0,,45000;
flaxseed oil,120.0,0.086,13.6,0.0,,37000;
tomatoseed oil,1927.0,0.0,218.0,0.0,,67000;
wheat germ oil,120.0,0.0,13.6,0.0,,42000;
sesame oil,40.0,0.0,4.5,0.0,,54500;
corn granola oil,124.0,0.0,14.0,0.0,,66500;
cocoa butter oil,120.0,0.0,13.6,0.0,,76000;
olive oil,119.0,0.0,13.5,0.0,,46500;
palm kernel oil,40.0,0.0,4.5,0.0,,45500;
mustard oil,124.0,0.0,14.0,0.0,,74000;
rice bran oil,120.0,0.0,13.6,0.0,,86500;
vegetable macaroni dry,308.0,11.0,0.9,62.9,,43000;
chow mein noodles,257.0,5.9,9.9,37.5,,31000;
chinese noodles,456.0,0.2,0.094,111.9,,28500;
vegetable macaroni cooked,172.0,6.1,0.1,35.7,,19500;
corn pasta dry,375.0,7.8,2.2,83.2,,14000;
egg noodles dry,146.0,5.4,1.7,27.1,,38500;
whole wheat spaghetti dry,98.0,4.1,0.4,21.2,,37500;
japanese soba noodles dry,95.0,4.1,0.2,21.1,,11000;
rice noodles dry,103.0,1.0,0.2,23.6,,8000;
spinach spaghetti dry,105.0,3.8,0.4,21.2,,12000;
egg noodles cooked,110.0,3.6,1.7,20.1,,15000;
japanese somen noodles cooked,231.0,7.0,0.3,48.5,,15500;
whole wheat macaroni dry,365.0,15.4,1.5,78.8,,32500;
pasta marinara and ground beef sauce,41.0,2.5,1.6,4.1,,63000;
macaroni raw,390.0,13.7,1.6,78.4,,30000;
spaghetti dry,105.0,3.7,0.4,21.1,,30000;
fusilli cucina,100.0,0.0,0.4,3.4,,44000;
japanese somen noodles dry,101.0,3.2,0.2,21.0,,35500;
pasta cooked,301.0,11.8,2.4,57.3,,39500;
macaroni cooked,221.0,8.1,1.3,43.2,,21500;
spinach egg noodles dry,145.0,5.6,1.7,26.7,,41500;
japanese soba noodles cooked,113.0,5.8,0.1,24.4,,6000;
rice noodles cooked,190.0,3.2,0.4,42.3,,12500;
whole wheat macaroni cooked,174.0,7.5,0.8,37.2,,40000;
spaghetti cooked,363.0,13.3,2.1,71.0,,22500;
whole wheat spaghetti cooked,174.0,7.5,0.8,37.2,,27500;
waffle,218.0,5.9,10.6,24.7,,12500;
baked taco shell,61.0,0.8,2.7,8.3,,24000;
puff pastry,1367.0,18.1,94.3,112.0,,33500;
blueberry muffin,214.0,2.6,9.2,30.2,,15500;
bread crumbs,427.0,14.4,5.7,77.7,,34500;
warm cinnamon roll mcdonalds,113.0,2.0,5.1,15.0,,5000;
corn muffin,201.0,3.9,5.5,33.7,,22500;
tortilla,467.0,14.3,1.9,98.4,,38000;
croutons seasoned,186.0,4.3,7.3,25.4,,16500;
buttermilk waffle,102.0,2.4,3.1,16.0,,60000;
flour tortilla,146.0,3.9,3.7,24.1,,24500;
glazed donut,55.0,0.8,3.0,6.2,,38500;
corn tortilla,52.0,1.4,0.7,10.7,,45000;
muffin,169.0,3.9,6.5,23.6,,18000;
croutons,33.0,1.0,0.5,5.9,,15000;
donut with jelly filling,289.0,5.0,15.9,33.2,,29500;
sweet cinnamon rolls,309.0,5.1,13.6,42.2,,15500;
oat bran muffin,46.0,1.2,1.3,8.2,,40500;
french cruller donut,169.0,1.3,7.5,24.4,,40000;
pancakes,86.0,2.4,3.7,10.8,,5000;
chocolate donut,250.0,2.7,11.9,34.4,,44500;
sweet cheese rolls,238.0,4.7,12.1,28.8,,73500;
eclair,234.0,4.4,19.2,11.2,,6500;
donut with cream filling,307.0,5.4,20.8,25.5,,12500;
fruit toaster pastry,209.0,2.4,5.6,37.1,,29000;
donut,192.0,2.3,10.3,22.9,,25000;
pancakes whole wheat,92.0,3.7,2.9,12.9,,20500;
keikitos,196.0,2.9,10.6,22.3,,9000;
zwieback,30.0,0.7,0.7,5.2,,21000;
chocolate coated donut,81.0,0.9,4.5,9.2,,42000;
waffle toasted,103.0,2.4,3.2,16.3,,10000;
cinnamon toaster pastry,206.0,2.6,7.1,34.1,,10500;
wheat bran bread,89.0,3.2,1.2,17.2,,37000;
white bread,77.0,2.6,1.0,14.3,,9500;
oat bran bread,71.0,3.1,1.3,11.9,,40000;
whole wheat bread natures own,50.0,0.0,1.0,0.0,,13000;
high protein bread dr zaks,152.0,0.0,3.0,15.3,,13500;
wheat bread,79.0,3.1,1.3,13.8,,36000;
egg bread toasted,117.0,3.9,2.4,19.5,,41000;
butter toastbrot ja,66.0,0.0,0.9,2.0,,48000;
vienna bread toasted,93.0,3.8,0.6,18.0,,39500;
vienna bread,92.0,3.8,0.6,18.1,,45000;
protein bread,47.0,2.3,0.4,8.3,,32500;
banana bread,186.0,2.5,6.0,31.1,,19000;
rice bran bread,66.0,2.4,1.2,11.7,,40500;
white fibre wonder bread,95.0,3.5,1.0,18.0,,18000;
focaccia,142.0,5.0,4.5,20.4,,25500;
oat bran bread toasted,70.0,3.1,1.3,11.8,,31000;
rye bread,83.0,2.7,1.1,15.5,,29500;
wheat germ bread,73.0,2.7,0.8,13.5,,33500;
protein bread toasted,46.0,2.2,0.4,8.2,,39000;
oatmeal bread,73.0,2.3,1.2,13.1,,34500;
arepa,215.0,5.4,5.3,36.4,,13000;
raisin bread toasted,86.0,2.5,1.4,16.5,,21000;
cracked wheat bread,74.0,2.5,1.1,14.0,,19500;
garlic bread,151.0,3.6,7.1,17.9,,9000;
rye bread toasted,82.0,2.7,1.0,15.4,,27000;
whole wheat bread,128.0,3.9,2.5,23.6,,6500;
whole wheat bread toasted,128.0,3.9,2.5,23.7,,43500;
